Number,Name,Country,State,City,District,Closest/Event1,Event2,Event3,Event4,W.E.C.,W.E.2,W.E.3,W.E.4,W.E.5,W.E.6,Rand1,Rand2,Rand3,R@E2,R@E4,SC12,SC13,SC23
2481,Roboteers,USA,Illinois,Tremont,Regional,ILPE,ALHU,MOSE,*,6,4,5,,,,0.4753526882,0.5064031349,,0,0,2,1,-1
2485,W.A.R. Lords,USA,California,San Diego,Regional,CALJ,CAP2,*,*,5,2,,,,,0.2650008286,0.04732273973,,0,,3,5,2
2486,CocoNuts,USA,Arizona,Flagstaff,Regional,AZSC,NVLV,MOSE,*,2,3,5,,,,0.6154146927,0.4510411569,,0,0,-1,-3,-2
2487,Mechanical Animals,USA,New York,West Sayville,Regional,NYHE,*,,,3,,,,,,0.4767864198,,,,,3,,
2489,The Insomniacs,USA,California,San Jose,Regional,CASJ,CAFR,*,,3,2,,,,,0.6289148643,,,0,,1,,
2491,NoMythic,USA,Minnesota,Saint Paul,Regional,MNMI,MNDU1,*,,1,5,,,,,0.9651469876,,,0,,-4,,
2495,Hive Mind,USA,New Jersey,Hamilton,FMA,NJALL,NJTAB,*,,4,1,,,,,0.3085999355,,,5,,3,,
2498,BearBotics,USA,Minnesota,Minneapolis,Regional,MNMI,*,,,1,,,,,,0.7734159259,,,,,1,,
2500,Herobotics,USA,Minnesota,Minneapolis,Regional,MNSC,NDGF,*,,2,4,,,,,0.1823695707,,,0,,-2,,
2501,Bionic Polars,USA,Minnesota,North St. Paul,Regional,MNMI,NDGF,*,,1,4,,,,,0.5801303575,,,0,,-3,,
2502,Talon Robotics,USA,Minnesota,Eden Prairie,Regional,MNMI,NDGF,*,,1,4,,,,,0.5472927123,,,0,,-3,,
2503,Warrior Robotics,USA,Minnesota,Brainerd,Regional,MNSC,*,,,2,,,,,,0.7489672388,,,,,2,,
2506,Saber Robotics,USA,Wisconsin,Franklin,Regional,WIMI,WILC,*,,3,6,,,,,0.1806150615,,,0,,-3,,
2508,Armada,USA,Minnesota,Stillwater,Regional,MNSC,MNDU2,*,,2,5,,,,,0.4037644266,,,0,,-3,,
2509,Tigerbots,USA,Minnesota,Hutchinson ,Regional,MNSC,MNDU2,*,,2,5,,,,,0.4953721324,,,0,,-3,,
2511,Cougars,USA,Minnesota,Lakeville,Regional,MNMI,*,,,1,,,,,,0.7215435295,,,,,1,,
2512,Duluth East Daredevils,USA,Minnesota,Duluth,Regional,MNDU1,NDGF,*,,5,4,,,,,0.7647024398,,,0,,1,,
2513,T.E.R.T.O.L.A.,USA,Minnesota,Minneapolis,Regional,MNSC,MNDU1,*,,2,5,,,,,0.1547050811,,,0,,-3,,
2518,Spartan Robotics,USA,Minnesota,Inver Grove Heights,Regional,MNSC,*,,,2,,,,,,0.1840696829,,,,,2,,
2521,SERT,USA,Oregon,Eugene,PNW,ORSAL,ORORE,*,,1,5,,,,,0.02477148628,,,5,,-4,,
2522,Royal Robotics,USA,Washington,Bothell,PNW,WASNO,WABON,*,,5,4,,,,,0.2018924956,,,4,,1,,
2523,Tech Storm,USA,Vermont,Saint Johnsbury,NE,MELEW,NHDUR,*,,1,2,,,,,0.2658111024,,,1,,-1,,
2526,Crimson Robotics,USA,Minnesota,Osseo,Regional,MNSC,IACF,*,,2,4,,,,,0.3447075986,,,0,,-2,,
2530,Inconceivable,USA,Minnesota,Rochester,Regional,WILC,IACF,*,,6,4,,,,,0.4432155577,,,0,,2,,
2531,RoboHawks,USA,Minnesota,Chaska,Regional,MNMI,NDGF,*,,1,4,,,,,0.9517473719,,,0,,-3,,
2534,Lumberjack Robotics,USA,Maryland,Baltimore ,CHS,MDOWI,VAGLE,*,,1,3,,,,,0.2056708048,,,10,,-2,,
2537,Space RAIDers,USA,Maryland,Columbia,CHS,MDSEV,MDOWI,*,,2,1,,,,,0.9651093149,,,3,,1,,
2538,The Plaid Pillagers,USA,Minnesota,Morris,Regional,MNSC,NDGF,*,,2,4,,,,,0.2334404711,,,0,,-2,,
2539,Krypton Cougars,USA,Pennsylvania,Palmyra,FMA,PAPHI,PAHOR,*,,3,4,,,,,0.485572282,,,4,,-1,,
2543,TitanBot,USA,California,Chula Vista,Regional,CALJ,CAP2,CAP1,*,5,2,1,,,,0.4785661767,0.7517872226,,0,0,3,4,1
2549,Millerbots,USA,Minnesota,Minneapolis,Regional,MNMI,MNDU2,*,,1,5,,,,,0.8812355312,,,0,,-4,,
2550,Skynet,USA,Oregon,Oregon City,PNW,ORORE,ORWIL,*,,5,3,,,,,0.02201275841,,,3,,2,,
2551,Penguin Empire,USA,California,Novato,Regional,CABE,CAEG,*,,6,5,,,,,0.1478124988,,,0,,1,,
2554,The Warhawks,USA,New Jersey,Edison,FMA,NJSKI,NJALL,*,,5,4,,,,,0.4344963801,,,4,,1,,
2556,RadioActive Roaches,USA,Florida,Niceville,Regional,FLTA,TNKN,*,,4,1,,,,,0.1775144402,,,0,,3,,
2557,SOTAbots,USA,Washington,Tacoma,PNW,WAAUB,ORSAL,ORORE,*,2,1,5,,,,0.8727079321,0.0972045328,,6,5,1,-3,-4
2559,Normality Zero,USA,Pennsylvania,Harrisburg,FMA,PAPHI,PAHOR,*,,3,4,,,,,0.9505487543,,,4,,-1,,
2560,RoboDog,USA,Missouri,Grandview,Regional,MOLS,*,,,3,,,,,,0.7874848338,,,,,3,,
2574,RoboHuskie,USA,Minnesota,St. Anthony,Regional,MNSC,WILC,*,,2,6,,,,,0.1624977389,,,0,,-4,,
2577,Pingry Robotics,USA,New Jersey,Basking Ridge,FMA,NJFLA,NJALL,*,,3,4,,,,,0.5974165017,,,4,,-1,,
2582,PantherBots,USA,Texas,Lufkin,FIT,TXHOU,TXBEL,*,,4,2,,,,,0.8260247041,,,0,,2,,
2583,Orange Dynamite,USA,Texas,Austin,FIT,TXAUS,TXBEL,*,,1,2,,,,,0.788244963,,,0,,-1,,
2584,Flame of The West,USA,California,Calabasas,Regional,CALA,CAAV,CAP1,*,3,6,1,,,,0.2108887511,0.6517392397,,0,0,-3,2,5
2585,Impact,USA,Texas,Bellaire,FIT,TXKAT,TXCLE,*,,3,5,,,,,0.9487194598,,,0,,-2,,
2586,Copper Bots,USA,Michigan,Calumet,FIM,MIESC,MISSM,*,,5,2,,,,,0.5271776257,,,1,,3,,
2587,DiscoBots,USA,Texas,Houston,FIT,TXHOU,TXCLE,*,,4,5,,,,,0.3263820842,,,0,,-1,,
2590,Nemesis,USA,New Jersey,Robbinsville,FMA,NJALL,PABEN,MABRI,*,4,2,3,,,,0.8186530007,0.7621247537,,0,2,2,1,-1
2591,RedTails,USA,Michigan,Detroit,FIM,MIDET,MITR1,*,,4,2,,,,,0.6768289701,,,0,,2,,
2594,Naskcorpions,USA,Idaho,Nampa,Regional,IDNA,UTWV,*,,5,4,,,,,0.06243391108,,,0,,1,,
2601,Steel Hawks,USA,New York,Flushing,Regional,NYNY,NYAL,NYSU,*,2,4,5,,,,0.8476593573,0.9682141745,,0,0,-2,-3,-1
2603,Steel Stingers,USA,Ohio,Medina,Regional,OHCL,PAPI,*,,3,2,,,,,0.8048351855,,,0,,1,,
2604,Metal and Soul,USA,Michigan,Capac,FIM,MITR1,MIKE1,*,,2,1,,,,,0.5595678534,,,0,,1,,
2606,Irish Robotics,USA,Minnesota,Rosemount,Regional,MNSC,*,,,2,,,,,,0.2785690529,,,,,2,,
2607,The Fighting RoboVikings,USA,Pennsylvania,Warminster,FMA,PAHOR,PABEN,NJTAB,*,4,2,1,,,,0.8634587523,0.0936367656,,0,5,2,3,1
2609,BeaverworX,Canada,Ontario,Guelph,ONT,ONWAT,ONOSH,ONHAM,*,3,2,5,,,,0.7118712814,0.7600442673,,9,6,1,-2,-3
2611,Jacktown Vectors,USA,Michigan,Jackson,FIM,MIBRO,MIHIG,*,,3,5,,,,,0.4212874531,,,0,,-2,,
2614,Mountaineer Area RoboticS (MARS),USA,West Virginia,Morgantown,Regional,PAPI,OHCL,MNDU2,*,2,3,5,,,,0.964221409,0.2703635626,,0,0,-1,-3,-2
2619,The Charge,USA,Michigan,Midland,FIM,MIMID,MIKE1,MIALL,*,5,1,3,,,,0.00241775859,0.2968742151,,0,0,4,2,-2
2620,Titans,USA,Michigan,Southgate,FIM,MIBCT,MIBEL,*,,3,4,,,,,0.1055976832,,,0,,-1,,
2626,Evolution,Canada,Québec,Sherbrooke,Regional,QCMO,NYRO,*,,1,6,,,,,0.8451000334,,,0,,-5,,
2630,Thunderbolts,Israel,,Emek Hefer,ISR,ISDE2,ISDE4,*,,2,4,,,,,0.6366878631,,,12,,-2,,
2634,The Gryphons,Canada,Ontario,North York,ONT,ONSCA,ONTOR,*,,4,2,,,,,0.008326094686,,,0,,2,,
2635,Lake Monsters,USA,Oregon,Lake Oswego,PNW,ORORE,ORSAL,*,,5,1,,,,,0.656824288,,,6,,4,,
2637,Phantom Catz,USA,California,Rolling Hills Estates,Regional,CALA,CAP1,*,,3,1,,,,,0.7525284956,,,0,,2,,
2638,Rebel Robotics,USA,New York,Great Neck,Regional,NYHE,LAKE,*,*,3,5,,,,,0.9959185634,0.5785005443,,0,,-2,3,5
2640,HOTBOTZ,USA,North Carolina,Reidsville,FNC,NCCHA,NCMEC,SCGRE,*,1,4,2,,,,0.8237162651,0.6637678919,,8,5,-3,-1,2
2641,Pittsburgh Central Catholic Robotics,USA,Pennsylvania,Pittsburgh,Regional,PAPI,TNKN,LAKE,*,2,1,5,,,,0.5982518548,0.5226854016,,0,0,1,-3,-4
2642,Pitt Pirates,USA,North Carolina,Greenville,FNC,NCWAK,NCPEM,*,,2,3,,,,,0.275652684,,,4,,-1,,
2643,Dark Matter,USA,California,San Jose,Regional,CASJ,CASF,CABE,*,3,4,6,,,,0.8821671523,0.7981300701,,0,0,-1,-3,-2
2647,Cyborg Mustangs,USA,Arizona,Phoenix,Regional,AZSC,CASE,*,,2,1,,,,,0.9151851386,,,0,,1,,
2648,Infinite Loop,USA,Maine,Oakland,NE,MELEW,RIKIN,MABRI,*,1,5,3,,,,0.3936781825,0.9001114759,,0,2,-4,-2,2
2654,Polar Rams,USA,Minnesota,Roseau,Regional,NDGF,ILPE,*,,4,6,,,,,0.379058517,,,0,,-2,,
2656,Quasics,USA,Pennsylvania,Monroeville,Regional,PAPI,*,,,2,,,,,,0.4575417831,,,,,2,,
2657,Team Thundercats,USA,New Mexico,Deming,FIT,TXAMA,TXFOR,*,,1,3,,,,,0.2943340901,,,1,,-2,,
2658,Σ-Motion,USA,California,San Diego,Regional,CALJ,CAAV,*,,5,6,,,,,0.2308516813,,,0,,-1,,
2659,RoboWarriors,USA,California,Mission Hills,Regional,CALA,AZTE,*,,3,6,,,,,0.5023719261,,,0,,-3,,
2662,RoboKrew,USA,Arizona,Tolleson,Regional,AZSC,AZTE,*,,2,6,,,,,0.2467413732,,,0,,-4,,
2667,Knights of the Valley,USA,Minnesota,Apple Valley,Regional,MNSC,WIMI,*,,2,3,,,,,0.2673171041,,,0,,-1,,
2673,Tenacious Technicians,USA,Michigan,Detroit,FIM,MIREN,MILIV,*,,1,2,,,,,0.2549953732,,,0,,-1,,
2679,Atlantis,Israel,,ירושלים,ISR,ISDE4,ISDE2,*,,4,2,,,,,0.08888704499,,,5,,2,,
2687,Team Apprentice,USA,Texas,Austin,FIT,TXAUS,TXBEL,TXDAL,*,1,2,4,,,,0.6185504986,0.1636686292,,0,1,-1,-3,-2
2689,Team Alpha,USA,Texas,Austin,FIT,TXAUS,TXDAL,*,,1,4,,,,,0.8063382518,,,1,,-3,,
2702,Rebels,Canada,Ontario,Waterloo,ONT,ONWAT,ONTOR,*,,3,2,,,,,0.2969376288,,,0,,1,,
2704,Roaring Robotics,USA,Illinois,Naperville,Regional,ILCH,WILC,*,,1,6,,,,,0.2417740222,,,0,,-5,,
2706,Merge Robotics,Canada,Ontario,Ottawa,ONT,ONOSH,ONNOR,*,,2,1,,,,,0.2672055889,,,5,,1,,
2708,Lake Effect Robotics,Canada,Ontario,Kingston,ONT,ONOSH,ONNOR,*,,2,1,,,,,0.5780409932,,,5,,1,,
2710,JetStream,USA,California,Palos Verdes Peninsula,Regional,CALA,CASE,*,,3,1,,,,,0.2179509094,,,0,,2,,
2712,Power Surge 4-H Robotics,USA,Connecticut,Waterbury,NE,CTWAT,MASPR,*,,1,3,,,,,0.9065786974,,,3,,-2,,
2713,Red Hawk Robotics,USA,Massachusetts,Melrose,NE,MAREV,MAREA,NHSAL,*,1,4,5,,,,0.2615339891,0.9313521603,,2,2,-3,-4,-1
2714,♨️ BBQ ♨️,USA,Texas,Dallas,FIT,TXDAL,TXAUS,*,,4,1,,,,,0.0865833415,,,0,,3,,
2718,Team OKC e'possums (Σ 1/n! x 10^3),USA,Oklahoma,Oklahoma City,Regional,OKOK,MOLS,MOSE,*,2,3,5,,,,0.8928130529,0.6534862625,,0,0,-1,-3,-2
2720,Red Watch Robotics,USA,New Jersey,Medford,FMA,NJTAB,PAHOR,*,,1,4,,,,,0.9172028706,,,4,,-3,,
2722,Charge Robotics,USA,New Jersey,Marlton,FMA,NJTAB,PABEN,*,,1,2,,,,,0.2698065447,,,0,,-1,,
2725,Ice Princesses,USA,Illinois,Chicago,Regional,ILCH,*,,,1,,,,,,0.09329492644,,,,,1,,
2733,Pigmice,USA,Oregon,Portland,PNW,ORORE,ORWIL,*,,5,3,,,,,0.283270261,,,3,,2,,
2767,Stryke Force,USA,Michigan,Kalamazoo,FIM,MIBAT,MISTJ,*,,1,4,,,,,0.9622803469,,,0,,-3,,
2771,Code Red Robotics the Stray Dogs,USA,Michigan,Grandville,FIM,MIALL,MIKEN,ONWIN,INWAS,3,2,1,4,,,0.6395334617,0.8649157717,,0,5,1,2,1
2773,IronDogz,USA,Oklahoma,Edmond,Regional,OKOK,OKTU,*,,2,5,,,,,0.4601631219,,,0,,-3,,
2783,Engineers of Tomorrow,USA,Kentucky,Crestwood,Regional,OHCI,MOSL,*,,6,4,,,,,0.01599481828,,,0,,2,,
2789,TEXPLOSION,USA,Texas,Manor,FIT,TXAUS,TXBEL,TXKAT,*,1,2,3,,,,0.02984078986,0.5782798345,,0,4,-1,-2,-1
2791,Shaker Robotics,USA,New York,Latham,Regional,NYAL,NYSU,*,,4,5,,,,,0.1139722977,,,0,,-1,,
2797,Knight & Nerdy,USA,Florida,Clermont,Regional,FLOR,FLTA,*,,6,4,,,,,0.8309970619,,,0,,2,,
2811,StormBots,USA,Washington,Vancouver,PNW,ORORE,ORWIL,WAYAK,*,5,3,2,,,,0.3722944775,0.7375683001,,3,5,2,3,1
2813,Gear Heads,USA,California,Saratoga,Regional,CASJ,CAEG,*,,3,5,,,,,0.1703795933,,,0,,-2,,
2815,Blue Devil Mechanics,USA,South Carolina,Columbia,FSC,SCGRE,SCNCH,SCAND,*,2,4,1,,,,0.1009057476,0.8698299629,,6,7,-2,1,3
2823,The Automatons,USA,Minnesota,Saint Paul,Regional,WILC,MNDU1,*,,6,5,,,,,0.1119700863,,,0,,1,,
2826,Wave Robotics,USA,Wisconsin,Oshkosh,Regional,WIMI,MNDU2,*,,3,5,,,,,0.6212446448,,,0,,-2,,
2827,The Tiki Bots,USA,California,Coronado,Regional,CALJ,*,,,5,,,,,,0.4819288344,,,,,5,,
2830,Riverside RoboTigers,USA,Wisconsin,Milwaukee,Regional,WIMI,ILCH,*,,3,1,,,,,0.5742864823,,,0,,2,,
2832,The Livonia Warriors,USA,Michigan,Livonia,FIM,MILIV,MIBRO,MIMID,*,2,3,5,,,,0.5423426563,0.7267989352,,0,1,-1,-3,-2
2834,Bionic Black Hawks,USA,Michigan,Bloomfield Hills,FIM,MITR1,MIALP,MIALL,*,2,5,3,,,,0.1835789916,0.9388965588,,1,0,-3,-1,2
2839,Daedalus,USA,California,Escondido,Regional,CALJ,CAP2,*,,5,2,,,,,0.06545088221,,,0,,3,,
2840,PCDS Blue Tide,USA,Arizona,Paradise Valley,Regional,AZSC,CAAV,*,,2,6,,,,,0.8856346415,,,0,,-4,,
2846,FireBears,USA,Minnesota,Roseville,Regional,MNSC,MNDU2,*,,2,5,,,,,0.256519053,,,0,,-3,,
2847,The MegaHertz,USA,Minnesota,Fairmont,Regional,IACF,WILC,*,,4,6,,,,,0.2005869786,,,0,,-2,,
2848,Rangers,USA,Texas,Dallas,FIT,TXDAL,TXWAC,*,,4,1,,,,,0.3248526895,,,1,,3,,
2849,Ursa Major,USA,Maryland,Columbia,CHS,MDSEV,MDOWI,*,,2,1,,,,,0.989613365,,,3,,1,,
2851,Crevolution,USA,Michigan,Sterling Heights,FIM,MISTE,MITR2,*,,5,3,,,,,0.6301934093,,,0,,2,,
2852,DM High Voltage,Canada,Ontario,St Catharines,ONT,ONHAM,ONNOR,*,,5,1,,,,,0.7004325038,,,5,,4,,
2853,Hot Spot Robotics,USA,Hawaii,Mililani,Regional,HIHO,CALJ,*,,2,5,,,,,0.3931454021,,,0,,-3,,
2854,The Prototypes,USA,California,San Jose,Regional,CASJ,CASF,*,,3,4,,,,,0.8469962703,,,0,,-1,,
2855,BEASTBOT,USA,Minnesota,Saint Paul,Regional,MNSC,NDGF,*,,2,4,,,,,0.3761912143,,,0,,-2,,
2856,Planetary Drive,USA,Kentucky,Lexington,Regional,OHCI,*,,,6,,,,,,0.7037202344,,,,,6,,
2861,Infinity's End,USA,Minnesota,Lake City,Regional,MNMI,*,,,1,,,,,,0.6547506459,,,,,1,,
2867,ElkLogics,USA,Indiana,Elkhart,FIN,INMIS,INPLA,MIKE2,*,3,1,2,,,,0.05828008322,0.8389361822,,0,1,2,1,-1
2869,Regal Eagles,USA,New York,Bethpage,Regional,NYHE,NYNY,*,,3,2,,,,,0.3097152537,,,0,,1,,
2872,CyberCats,USA,New York,Old Westbury,Regional,NYHE,TNKN,*,,3,1,,,,,0.2908018779,,,0,,2,,
2875,CyberHawks,USA,New York,Cold Spring Harbor,Regional,NYHE,NYSU,*,,3,5,,,,,0.3036811058,,,0,,-2,,
2876,DevilBotz,USA,Massachusetts,Burlington,NE,MAREA,MAREV,*,,4,1,,,,,0.1024847769,,,2,,3,,
2877,LigerBots,USA,Massachusetts,Auburndale,NE,MAREV,MASPR,*,,1,3,,,,,0.9380548881,,,3,,-2,,
2879,Oriole Robotics,USA,Minnesota,Saint Louis Park,Regional,MNMI,*,,,1,,,,,,0.8652271557,,,,,1,,
2881,Lady Cans,USA,Texas,Austin,FIT,TXAUS,TXBEL,*,,1,2,,,,,0.6282998151,,,0,,-1,,
2882,Nuts n' Boltz,USA,Texas,Katy,FIT,TXKAT,TXCLE,*,,3,5,,,,,0.9082222609,,,0,,-2,,
2883,F.R.E.D (FIRST Robotics Engineering and Design),USA,Minnesota,Warroad,Regional,NDGF,MNDU1,*,,4,5,,,,,0.54642104,,,0,,-1,,
2890,The Hawk Collective,USA,Virginia,Chesapeake,CHS,VAPOR,VAGLE,*,,4,3,,,,,0.5909096383,,,10,,1,,
2895,Blazenbots,USA,New York,Far Rockaway,Regional,NYHE,*,,,3,,,,,,0.2455891159,,,,,3,,
2896,MechaMonarchs,USA,Hawaii,Honolulu,Regional,HIHO,*,,,2,,,,,,0.8679044008,,,,,2,,
2898,Flying Hedgehogs,USA,Oregon,Portland,PNW,ORORE,ORWIL,*,,5,3,,,,,0.2494190699,,,3,,2,,
2900,The Mighty Penguins,USA,District of Columbia,Washington,CHS,VAFAL,MDOWI,*,,3,1,,,,,0.254990804,,,3,,2,,
2903,NeoBots,USA,Washington,Arlington,PNW,WASNO,WAYAK,*,,5,2,,,,,0.8213366894,,,5,,3,,
2905,Sultans of Turkiye,Türkiye,,Istanbul,Regional,TUIS1,TUIS3,*,,1,3,,,,,0.8209992248,,,0,,-2,,
2906,Sentinel Prime Robotics,USA,Washington,Spanaway,PNW,WABON,WAAUB,*,,4,2,,,,,0.55677427,,,5,,2,,
2907,Lion Robotics,USA,Washington,Auburn,PNW,WAAUB,WASNO,WABON,*,2,5,4,,,,0.6140500528,0.1353374578,,5,4,-3,-2,1
2909,Zebra Bots,USA,Indiana,Rochester,FIN,INMIS,INWAS,*,,3,4,,,,,0.9073726871,,,1,,-1,,
2910,Jack in the Bot,USA,Washington,Mill Creek,PNW,WASNO,WAYAK,WABEL,*,5,2,3,,,,0.9785344433,0.3654516829,,5,2,3,2,-1
2912,Panther Robotics,USA,District of Columbia,Washington,CHS,VAFAL,VAPOR,*,,3,4,,,,,0.3622763387,,,11,,-1,,
2914,TIGER PRIDE,USA,District of Columbia,Washington,CHS,VAFAL,MDSEV,*,,3,2,,,,,0.6182224663,,,8,,1,,
2915,Pandamonium,USA,Oregon,Portland,PNW,ORORE,ORWIL,*,,5,3,,,,,0.4029685893,,,3,,2,,
2926,Robo Sparks,USA,Washington,Wapato,PNW,WAYAK,ORORE,*,,2,5,,,,,0.2385851547,,,5,,-3,,
2927,NEST Robotics,USA,Washington,Graham,PNW,WABON,WAAUB,*,,4,2,,,,,0.9065099325,,,5,,2,,
2928,Viking Robotics,USA,Washington,Seattle,PNW,WAAUB,ORSAL,*,,2,1,,,,,0.7759502052,,,6,,1,,
2929,Emeral Ridge JAGBOTS,USA,Washington,Puyallup,PNW,WABON,WAAUB,*,,4,2,,,,,0.804735009,,,5,,2,,
2930,Sonic Squirrels,USA,Washington,Snohomish,PNW,WASNO,WAYAK,*,,5,2,,,,,0.8512730857,,,5,,3,,
2935,NACI Robotics,Canada,Ontario,Toronto,ONT,ONTOR,ONWIN,*,,2,1,,,,,0.186790954,,,5,,1,,
2945,Steel Mustangs,USA,Colorado,Manitou Springs,Regional,CODE,OKOK,*,,6,2,,,,,0.3215073755,,,0,,4,,
2950,Devastators,USA,Texas,Waco,FIT,TXWAC,TXBEL,*,,1,2,,,,,0.8478319596,,,0,,-1,,
2959,Robotarians,USA,Michigan,Coloma,FIM,MISTJ,MIBER,MIMID,*,4,2,5,,,,0.9318422642,0.02240057758,,0,1,2,-1,-3
2960,Automation Nation,USA,Michigan,Birmingham,FIM,MITR2,MIMUS,INCOL,*,3,4,2,,,,0.4918290652,0.455642276,,0,3,-1,1,2
2969,Aftermath,USA,Texas,San Antonio,FIT,TXSAN,TXCLE,*,,2,5,,,,,0.7781022426,,,0,,-3,,
2972,Gears and Buccaneers,USA,Colorado,Lafayette,Regional,CODE,KSSH,*,,6,1,,,,,0.361032149,,,0,,5,,
2973,Mad Rockers,USA,Alabama,Madison,Regional,ALHU,ARSE,*,,4,6,,,,,0.8916666006,,,0,,-2,,
2974,Walton Robotics,USA,Georgia,Marietta,PCH,GACAR,GADAL,SCAND,*,2,5,1,,,,0.223988749,0.8929949196,,0,7,-3,1,4
2976,The Spartabots,USA,Washington,Sammamish,PNW,WABEL,WAAUB,*,,3,2,,,,,0.9712750169,,,5,,1,,
2977,Sir Lancer Bots,USA,Minnesota,La Crescent,Regional,WILC,MNDU1,*,,6,5,,,,,0.1591539304,,,0,,1,,
2978,Cavaliers,USA,Missouri,Saint Louis,Regional,MOSL,*,,,4,,,,,,0.4595825033,,,,,4,,
2980,Whidbey Island Wildcats,USA,Washington,Oak Harbor,PNW,WASNO,WABEL,WAYAK,*,5,3,2,,,,0.9386230457,0.4065094278,,2,5,2,3,1
2984,Vikings Robotics,USA,California,La Jolla,Regional,CALJ,CAP1,*,,5,1,,,,,0.5404730743,,,0,,4,,
2987,Rogue Robotics,USA,Minnesota,Farmington,Regional,MNMI,MSLA,*,,1,3,,,,,0.5786073346,,,0,,-2,,
2988,RoboRiot,USA,Virginia,Berryville,CHS,VAFAL,VAPOR,*,,3,4,,,,,0.5997299931,,,11,,-1,,
2990,Hotwire,USA,Oregon,Turner,PNW,ORSAL,ORWIL,*,,1,3,,,,,0.5778049498,,,3,,-2,,
2992,The S.S. Prometheus,USA,Louisiana,Mandeville,Regional,LAKE,ARSE,*,*,5,6,,,,,0.5210998911,0.2102353682,,0,,-1,5,6
2996,Cougars Gone Wired,USA,Colorado,Colorado Springs,Regional,CODE,OKOK,*,,6,2,,,,,0.8252733503,,,0,,4,,
2998,VikingBots,USA,Virginia,Richmond,CHS,VAGLE,VAASH,*,,3,2,,,,,0.2971237376,,,9,,1,,
3003,TAN(X),USA,New York,Canandaigua,Regional,NYRO,NYAL,*,,6,4,,,,,0.2048839268,,,0,,2,,
3004,Bronx Knights,USA,New York,Bronx,Regional,NYNY,NYSU,*,,2,5,,,,,0.6249977755,,,0,,-3,,
3005,RoboChargers,USA,Texas,Dallas,FIT,TXDAL,TXWAC,*,,4,1,,,,,0.6486627506,,,1,,3,,
3006,Red Rock Robotics,USA,Utah,Salt Lake City,Regional,UTWV,CODE,*,,4,6,,,,,0.8784653945,,,0,,-2,,
3007,Robotitans,USA,Minnesota,Oakdale,Regional,MNSC,NDGF,*,,2,4,,,,,0.1566459642,,,0,,-2,,
3008,Team Magma,USA,Hawaii,Honolulu,Regional,HIHO,BCVI,*,,2,1,,,,,0.4342389497,,,0,,1,,
3009,High Scalers,USA,Nevada,Boulder City,Regional,NVLV,UTWV,*,,3,4,,,,,0.9822776111,,,0,,-1,,
3015,Ranger Robotics,USA,New York,Spencerport,Regional,NYRO,NYHE,*,,6,3,,,,,0.2632469459,,,0,,3,,
3017,Patriots,USA,New York,Fresh Meadows,Regional,NYHE,*,,,3,,,,,,0.421456963,,,,,3,,
3018,Nordic Storm,USA,Minnesota,Saint Peter,Regional,MNMI,*,,,1,,,,,,0.8412628598,,,,,1,,
3019,Firebirds,USA,Arizona,Scottsdale,Regional,AZSC,AZTE,*,,2,6,,,,,0.09732531111,,,0,,-4,,
3020,SMbld,USA,California,Rancho Santa Margarita,Regional,CACM,CALJ,*,,4,5,,,,,0.2989844921,,,0,,-1,,
3023,STARK Industries,USA,Minnesota,Elk River,Regional,MNSC,ILCH,*,,2,1,,,,,0.2246218593,,,0,,1,,
3024,My Favorite Team,USA,Oregon,Ashland,PNW,ORSAL,ORWIL,*,,1,3,,,,,0.7178124461,,,3,,-2,,
3026,Orange Crush Robotics,USA,Minnesota,Delano,Regional,MNMI,NDGF,*,,1,4,,,,,0.5054112265,,,0,,-3,,
3029,Mecha Titans,USA,Texas,Pharr,FIT,TXSAN,TXCLE,*,,2,5,,,,,0.124460401,,,0,,-3,,
3035,Droid Rage,USA,Texas,Corpus Christi,FIT,TXSAN,TXPLA,*,,2,5,,,,,0.2562918445,,,0,,-3,,
3038,ICE,USA,Minnesota,North Branch,Regional,MNMI,*,,,1,,,,,,0.9757858163,,,,,1,,
3039,Wildcat Robotics,USA,Louisiana,Destrehan,Regional,LAKE,MSLA,*,*,5,3,,,,,0.3155624983,0.486234538,,0,,2,5,3
3042,Cobalt Catalysts,USA,Minnesota,Apple Valley,Regional,MNSC,MNDU1,*,,2,5,,,,,0.3261412052,,,0,,-3,,
3044,Team 0xBE4,USA,New York,Ballston Spa,Regional,NYAL,NYRO,*,,4,6,,,,,0.7126053129,,,0,,-2,,
3045,Gear Gremlins,USA,California,San Mateo,Regional,CASF,CABE,*,,4,6,,,,,0.895033693,,,0,,-2,,
3049,BremerTron,USA,Washington,Bremerton,PNW,WAAUB,WABON,*,,2,4,,,,,0.00191296557,,,4,,-2,,
3053,VB Stingers,USA,New York,Queens Village,Regional,NYHE,*,,,3,,,,,,0.5054774104,,,,,3,,
3055,Furious George,USA,Minnesota,Austin,Regional,IACF,*,,,4,,,,,,0.3373484786,,,,,4,,
3058,ANNDROIDS,USA,Minnesota,Annandale,Regional,MNSC,NDGF,*,,2,4,,,,,0.8362971564,,,0,,-2,,
3061,Huskie Robotics,USA,Illinois,Naperville,Regional,ILCH,MOLS,*,,1,3,,,,,0.5706043935,,,0,,-2,,
3065,Jatt High School,Israel,,Jatt,ISR,ISDE1,ISDE3,*,,1,3,,,,,0.7585807943,,,5,,-2,,
